A, (Assumption)
&I, (Ampersand Intro)
&E, (Ampersand Elim)
vI, (Wedge Intro)
vE, (Wedge Elim)
->I, (Arrow Intro)
->E, (Arrow Elim)
RAA, (Reductio ad Absurdum)
<->I, (Double-Arrow Intro)
<->E, (Double-Arrow Elim)
@E, (Universal Elim)
@I, (Universal Intro)
$I, (Existential Intro)
$E, (Existential Elim)
=I, (Identity Intro)
=E, (Identity Elim)
DN, (Double Negation)
MTT, (Modus Tollendo Tollens)
HS, (Hypothetical Syllogism)
TC, (True Consequent)
FA, (False Antecedent)
IA, (Impossible Antecedent)
v->, (Wedge Arrow)
SimDil, (Simple Dilemma)
ComDil, (Complex Dilemma)
SpecDil, (Special Dilemma)
DM, (DeMorgan)
Neg->, (Negated Arrow)
&Comm, (& Commutativity)
vComm, (v Commutativity)
<->Comm, (<->Commutativity)
Trans, (Transposition)
&Assoc, (& Associativity)
vAssoc, (v Associativity)
&/vDist, (&/v Distribution)
v/&Dist, (v/& Distribution)
Imp/Exp, (Imp/Exportation)
BP, (Biconditional Ponens)
BT, (Biconditional Tollens)
BiTrans, (BiTransposition)
Neg<->, (Negated<->)
QE, (Quantifier Exchange)
